INFO 2024-03-19 15:51:44,609 basehttp 10996 10368 "GET /admin/salao/agendamento/3/change/ HTTP/1.1" 200 17071
WARNING 2024-03-19 15:51:44,663 basehttp 10996 6160 "GET /static/admin/js/calendar.js HTTP/1.1" 404 1819
WARNING 2024-03-19 15:51:44,666 basehttp 10996 10368 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 404 1855
WARNING 2024-03-19 15:51:44,694 basehttp 10996 9804 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 1828
WARNING 2024-03-19 15:51:44,694 basehttp 10996 10612 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 404 1864
WARNING 2024-03-19 15:51:44,698 basehttp 10996 11816 "GET /static/admin/js/core.js HTTP/1.1" 404 1807
WARNING 2024-03-19 15:51:44,704 basehttp 10996 10488 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 1873
INFO 2024-03-19 15:51:44,706 basehttp 10996 10384 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11800
WARNING 2024-03-19 15:51:44,708 basehttp 10996 8708 "GET /static/admin/js/actions.js HTTP/1.1" 404 1816
WARNING 2024-03-19 15:51:44,731 basehttp 10996 9664 "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 1828
WARNING 2024-03-19 15:51:44,736 basehttp 10996 10980 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 404 1843
WARNING 2024-03-19 15:51:44,737 basehttp 10996 4752 "GET /static/admin/js/urlify.js HTTP/1.1" 404 1813
WARNING 2024-03-19 15:51:44,741 basehttp 10996 10384 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 404 1861
WARNING 2024-03-19 15:51:44,756 basehttp 10996 2328 "GET /static/admin/js/theme.js HTTP/1.1" 404 1810
WARNING 2024-03-19 15:51:44,783 basehttp 10996 11700 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1828
INFO 2024-03-19 15:51:44,797 basehttp 10996 10588 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
WARNING 2024-03-19 15:51:44,807 basehttp 10996 10588 "GET /static/admin/js/change_form.js HTTP/1.1" 404 1828
ERROR 2024-03-19 15:51:45,061 basehttp 10996 12136 "GET /admin/jsi18n/ HTTP/1.1" 500 122909
INFO 2024-03-19 15:52:12,844 autoreload 10996 5772 C:\Users\Joao\Desktop\CyberSolutions\salao\views\funcionarios.py changed, reloading.
INFO 2024-03-19 15:52:13,785 autoreload 10700 5968 Watching for file changes with StatReloader
INFO 2024-03-19 15:52:15,832 basehttp 10700 9028 "GET /salao/funcionarios/edita_funcionario/1/ HTTP/1.1" 200 11719
INFO 2024-03-19 15:52:15,913 basehttp 10700 9028 "GET /static/css/base_style.css HTTP/1.1" 200 3779
INFO 2024-03-19 15:52:15,916 basehttp 10700 11052 "GET /static/salao/css/funcionarios/editar_funcionario.css HTTP/1.1" 200 4422
INFO 2024-03-19 15:52:15,939 basehttp 10700 11416 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:52:15,946 basehttp 10700 10560 "GET /static/js/base_js.js HTTP/1.1" 200 725
INFO 2024-03-19 15:52:16,288 basehttp 10700 11416 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:52:17,460 basehttp 10700 11416 "GET /salao/funcionarios/edita_funcionario/1/ HTTP/1.1" 200 11719
INFO 2024-03-19 15:52:17,506 basehttp 10700 11416 "GET /static/css/base_style.css HTTP/1.1" 200 3779
INFO 2024-03-19 15:52:17,508 basehttp 10700 10560 "GET /static/js/base_js.js HTTP/1.1" 200 725
INFO 2024-03-19 15:52:17,512 basehttp 10700 11052 "GET /static/salao/css/funcionarios/editar_funcionario.css HTTP/1.1" 200 4422
INFO 2024-03-19 15:52:17,514 basehttp 10700 9028 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:52:17,782 basehttp 10700 9028 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:53:15,514 autoreload 10700 5968 C:\Users\Joao\Desktop\CyberSolutions\salao\views\agendamento.py changed, reloading.
INFO 2024-03-19 15:53:16,468 autoreload 4108 6260 Watching for file changes with StatReloader
INFO 2024-03-19 15:53:21,031 autoreload 4108 6260 C:\Users\Joao\Desktop\CyberSolutions\salao\views\agendamento.py changed, reloading.
INFO 2024-03-19 15:53:21,999 autoreload 8676 7716 Watching for file changes with StatReloader
INFO 2024-03-19 15:53:23,927 basehttp 8676 11884 "GET /salao/funcionarios/edita_funcionario/1/ HTTP/1.1" 200 11719
INFO 2024-03-19 15:53:24,020 basehttp 8676 11884 "GET /static/css/base_style.css HTTP/1.1" 200 3779
INFO 2024-03-19 15:53:24,024 basehttp 8676 1412 "GET /static/js/base_js.js HTTP/1.1" 200 725
INFO 2024-03-19 15:53:24,026 basehttp 8676 8288 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:53:24,083 basehttp 8676 11208 "GET /static/salao/css/funcionarios/editar_funcionario.css HTTP/1.1" 200 4422
INFO 2024-03-19 15:53:24,392 basehttp 8676 11208 "GET /static/images/logo.ico HTTP/1.1" 200 239774
INFO 2024-03-19 15:53:27,585 basehttp 8676 11208 "GET /salao/agenda/deleta_agendamento/5/ HTTP/1.1" 302 0
